scenario_id,client,index,date,title,semantic_signal,topology_signal,behavioral_signal,semantic_ratio,topology_ratio,behavioral_ratio,combined_risk,trigger,source,url
ftx_rapid_deterioration,FTX Trading Ltd,1,2022-11-02,CoinDesk reports Alameda Research balance sheet heavily depends on FTX's FTT token,0.3722,0.0,0.0,0.24555637594807433,0.0,0.0,0.2456,False,Reuters / CoinDesk timeline,https://www.reuters.com/markets/currencies/rise-fall-crypto-exchange-ftx-2022-11-10/
ftx_rapid_deterioration,FTX Trading Ltd,2,2022-11-06,Binance says it will liquidate remaining FTT holdings tied to FTX after CoinDesk revelations,0.3287,0.0,0.0,0.34568201592577924,0.0,0.0,0.3457,False,Reuters,https://www.reuters.com/markets/currencies/rise-fall-crypto-exchange-ftx-2022-11-10/
ftx_rapid_deterioration,FTX Trading Ltd,3,2022-11-08,FTX faces withdrawal pressure and announces non-binding Binance rescue deal,0.4197,0.0,0.0,0.5869372774816211,0.0,0.0,0.5869,True,CoinDesk timeline,https://www.coindesk.com/markets/2022/11/12/the-epic-collapse-of-sam-bankman-frieds-ftx-exchange-a-crypto-markets-timeline
gazprombank_sanctions_escalation,Gazprombank,1,2014-09-12,Gazprombank is subject to Ukraine/Russia-related sectoral sanctions directives,0.3894,0.0,0.0,0.23393265060769491,0.0,0.0,0.2339,False,OFAC sanctions list search,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=17016
gazprombank_sanctions_escalation,Gazprombank,2,2022-02-24,Gazprombank becomes subject to EO 14024 Directive 3 restrictions on new debt and equity,0.4093,0.0,0.0,0.44428983698036456,0.0,0.0,0.4443,False,OFAC sanctions list search,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=17016
gazprombank_sanctions_escalation,Gazprombank,3,2022-03-02,EU removes several Russian banks from SWIFT but spares Gazprombank for energy payments,0.4088,0.0,0.0,0.603432171179768,0.0,0.0,0.6034,True,Davis Polk / Global News,https://www.davispolk.com/insights/client-update/russia-sanctions-update-march-4-2022
microstrategy_drift,MicroStrategy Incorporated,1,2020-07-28,MicroStrategy announces capital allocation strategy: buyback plus alternative assets including digital assets such as bitcoin,0.2748,0.0,0.0,0.07368673034397069,0.0,0.0,0.0737,False,SEC 8-K / Q2 2020 earnings release,https://www.sec.gov/Archives/edgar/data/1050446/000156459020033897/mstr-ex991_10.htm
microstrategy_drift,MicroStrategy Incorporated,2,2020-08-11,MicroStrategy adopts Bitcoin as primary treasury reserve asset with a $250M purchase,0.2931,0.0,0.0,0.14312175106257824,0.0,0.0,0.1431,False,SEC 8-K / press release,https://www.sec.gov/Archives/edgar/data/1050446/000119312520215604/d921849dex991.htm
microstrategy_drift,MicroStrategy Incorporated,3,2020-12-11,MicroStrategy closes $650M convertible note offering and intends to invest proceeds in Bitcoin,0.3361,0.0,0.0,0.26032738461852906,0.0,0.0,0.2603,False,Strategy press release / SEC 8-K,https://www.strategy.com/press/microstrategy-completes-650m-offering-of-convertible-senior-notes-due-2025
microstrategy_drift,MicroStrategy Incorporated,4,2021-02-24,"MicroStrategy buys an additional 19,452 bitcoins for $1.026B after issuing more convertible debt",0.369,0.0,0.0,0.40581308569026686,0.0,0.0,0.4058,False,Strategy press release,https://www.strategy.com/press/microstrategy-acquires-additional-19452-bitcoins-for-1-026-billion_02-24-2021
